Egon Börger,"Università di Pisa, Pisa, Italy",Abstract state machine nets,2015,"UML 2.0 superstructure specification. Object Management Group, see http://www.omg.org/cgi-bin/doc?formal/05-07-04.
",</div>,0,0,1
Albert Fleischmann,Pfaffenhofen,Abstract state machine nets,2015,"UML 2.0 superstructure specification. Object Management Group, see http://www.omg.org/cgi-bin/doc?formal/05-07-04.
",</div>,0,0,1
Egon Börger,"Università di Pisa, Pisa, Italy",Abstract state machine nets,2015,"Business Process Model and Notation (BPMN). Version 2.0. http://www.omg.org/spec/BPMN/2.0, January ",2011,0,0,0
Albert Fleischmann,Pfaffenhofen,Abstract state machine nets,2015,"Business Process Model and Notation (BPMN). Version 2.0. http://www.omg.org/spec/BPMN/2.0, January ",2011,0,0,0
Egon Börger,"Università di Pisa, Pisa, Italy",Abstract state machine nets,2015,"Case Management Model and Notation (CMMN). Version 1.0 Beta 1. http://www.omg.org/spec/CMMN/1.0/Beta1, January ",2013,0,0,0
Albert Fleischmann,Pfaffenhofen,Abstract state machine nets,2015,"Case Management Model and Notation (CMMN). Version 1.0 Beta 1. http://www.omg.org/spec/CMMN/1.0/Beta1, January ",2013,0,0,0
Egon Börger,"Università di Pisa, Pisa, Italy",Abstract state machine nets,2015,"J.-R. Abrial. <i>The B-Book.</i> Cambridge University Press, Cambridge, ",1996,0,0,0
Albert Fleischmann,Pfaffenhofen,Abstract state machine nets,2015,"J.-R. Abrial. <i>The B-Book.</i> Cambridge University Press, Cambridge, ",1996,0,0,0
Egon Börger,"Università di Pisa, Pisa, Italy",Abstract state machine nets,2015,"
Jean-Raymond Abrial, Modeling in Event-B: System and Software Engineering, Cambridge University Press, New York, NY, ",2010,0,0,0
Albert Fleischmann,Pfaffenhofen,Abstract state machine nets,2015,"
Jean-Raymond Abrial, Modeling in Event-B: System and Software Engineering, Cambridge University Press, New York, NY, ",2010,0,0,0
Egon Börger,"Università di Pisa, Pisa, Italy",Abstract state machine nets,2015,"M. Altenhofen, E. Börger, A. Friesen, and J. Lemcke. A high-level specification for virtual providers. <i>Int.J.BP Integration and Management</i>, 1: 267--278, ",2006,0,0,0
Albert Fleischmann,Pfaffenhofen,Abstract state machine nets,2015,"M. Altenhofen, E. Börger, A. Friesen, and J. Lemcke. A high-level specification for virtual providers. <i>Int.J.BP Integration and Management</i>, 1: 267--278, ",2006,0,0,0
Egon Börger,"Università di Pisa, Pisa, Italy",Abstract state machine nets,2015,"Web Services Business Process Execution Language version 2.0. OASIS Standard, ",2007,0,0,0
Albert Fleischmann,Pfaffenhofen,Abstract state machine nets,2015,"Web Services Business Process Execution Language version 2.0. OASIS Standard, ",2007,0,0,0
